51.62,1.8,4.8
51.62,1.83,6.9
51.62,2.08,4.4
51.63,1.15,9.565953787
51.63,1.23,4.8
51.63,1.25,10.80781293
51.63,1.67,4.8
51.63,1.68,7.3
51.63,1.83,10.30669306
51.63,2.02,9.7
51.63,2.05,4.6
51.63,2.08,10.3
51.63,2.5,6.1
51.65,1.53,6.6
51.65,1.72,11.8
51.65,1.78,11.6
51.65,1.83,9
51.65,2,9.7
51.65,2.02,11.8
51.65,2.08,6.4
51.65,2.13,12.7
51.65,2.33,11.7
51.65,2.57,8.7
51.65,2.67,7.3
51.669,2.5633,7.2
51.67,1.42,7.1
51.67,1.53,9
51.67,1.57,7.5
51.67,1.8,7.6
51.67,1.83,12.1
51.67,1.97,8.7
51.67,2.02,10
51.67,2.05,11.4
51.67,2.08,10
51.67,2.12,5.2
51.67,2.13,10.5
51.67,2.33,10.59166667
51.67,2.58,8.75
51.67,2.62,6.8
51.67,2.63,6.2
51.67,2.7,6
51.67,3.15,5.7
51.67,3.17,6.1
51.68,1.17,7.9
51.68,1.18,6
51.68,2,13.5
51.68,2.33,9.6
51.68,2.5,8.8
51.68,3.4,11.2
51.7,1.02,12.4
51.7,2.33,6.3
51.7023,2.3477,7.2
51.72,1.4,12.1
51.72,1.6,8.4
51.72,1.75,11.2
51.72,1.93,6
51.72,2.33,12.3
51.72,2.53,12.2
51.72,2.68,12.5
51.72,2.83,12.4
51.72,3.02,12.6
51.73,1.15,11.3
51.73,1.97,10.6
51.73,2.33,8
51.73,2.57,6.8
51.73,2.67,7.9
51.73,2.82,6.4
51.73,2.83,10.9
51.73,3,10.8
51.75,2.33,9.5
51.75,2.37,6.3
51.75,2.67,7.3
51.75,2.68,10.1
51.75,2.72,7.8
51.75,2.77,10.1
51.75,2.83,9.45
51.75,2.92,8.7125
51.77,1.53,9.742857143
51.77,2.2,8.133333333
51.77,2.27,9.05
51.77,2.33,10.05
51.77,2.48,10.25
51.77,2.83,11.2
51.77,2.88,6.4
51.77,2.97,10.2
51.77,3,5.9
51.78,1.77,8.1
51.78,1.83,11.5
51.78,2.33,12.3
51.78,2.83,6.2
51.8,1.35,12
51.8,1.48,11.9
51.8,1.62,13.5
51.8,2.33,6
51.8,2.35,10.6
51.8,2.83,9.4
51.8,2.92,9
51.8,3.07,5.6
51.8,3.33,10.5
51.819,3.61,5.5
51.82,1.7,13
51.82,1.83,10.4
51.82,1.93,11.8
51.82,2.07,7.82
51.82,2.33,6.7
51.82,2.67,8.8
51.82,2.77,10.11907574
51.82,2.83,7.95
51.82,3.05,9.628571429
51.82,3.13,9.83
51.82,3.33,10.59100842
51.83,1.43,6.8
51.83,2.33,9.3
51.83,2.43,6.2
51.83,2.67,12.5
51.83,2.83,6.6
51.83,2.92,10.11907574
51.83,3,12.25
51.83,3.17,11.5399289
51.83,3.25,8.469845957
51.83,3.27,9.938783546
51.83,3.33,6.8
51.83,3.38,10.25
51.83,3.45,9.559537872
51.83,3.47,9.7
51.83,3.72,12.4
51.85,1.47,10.2
51.85,1.83,13.2
51.85,2.33,12.5
51.85,3.13,11.8
51.85,3.25,11.1
51.85,3.33,6.1
51.85,3.7,11.9
51.87,1.52,10.9
51.87,1.7,13.2
51.87,2.33,11.5
51.87,2.57,13
51.87,2.67,11.5
51.87,2.83,11.7
51.87,3.25,6.8
51.87,3.27,12.2
51.87,3.28,12.3
51.87,3.33,10.7
51.88,2.33,12.4
51.88,2.83,12.6
51.88,2.92,5.7
51.88,2.93,6.9
51.88,3.23,9.7
51.88,3.25,6.9
51.9,1.48,6.6
51.9,2.17,5.6
51.9,2.23,12.8
51.9,2.33,10.4
51.9,2.6,6.4
51.9,2.67,8.2
51.9,2.83,7.466666667
51.9,3.22,6.4
51.9,3.25,12
51.9,3.48,11
51.9,3.5,12
51.9,3.57,10.11666667
51.9,3.6,6.7
51.9,3.67,11.48571429
51.92,1.83,12.9
51.92,2.83,8.95
51.92,2.92,10.4
51.92,3.25,10.46666667
51.92,3.58,14.1
51.92,3.65,11.9
51.92,3.67,5.7
51.92,3.8,5.4
51.93,1.53,7.2
51.93,1.83,13.5
51.93,2.23,11.7
51.93,2.48,13.6
51.93,2.67,7
51.93,2.83,8.4
51.93,3.28,13
51.93,3.33,8.6
51.93,3.67,10.7
51.95,1.83,6.9
51.95,2.25,5.8
51.95,2.28,12.4
51.95,2.83,9.4
51.95,2.9,9.5
51.95,3.33,9.9
51.95,3.67,8
51.95,3.75,12.1
51.9523,2.598,11
51.97,1.57,9.8
51.97,1.93,9.6
51.97,2.02,11.3
51.97,2.27,9.9
51.97,2.3,11.4
51.97,2.32,7.3
51.97,2.33,7.8
51.97,2.67,12.4
51.97,2.83,14.2
51.97,2.92,12.5
51.97,3,13.51
51.97,3.33,10.2
51.97,3.65,8.675
51.97,3.75,10.4
51.98,1.85,9.85
51.98,2.83,13.4
51.98,2.92,8.55
51.98,3.33,10.6
51.98,3.6,7.8
51.98,4.1,10.7
52,1.83,8.933333333
52,2.1,11.5
52,2.33,7.4
52,2.63,15.1
52,2.73,10.5
52,2.8,7.6
52,2.83,7.75
52,2.87,11.45
52,2.9,10.94
52,2.92,10.375
52,3.17,12.1
52,3.33,10.1
52,3.45,13
52,3.67,13.6
52,3.73,6.925
52,4,13.5
52.02,2.38,12.1
52.02,2.83,10.05
52.02,3.33,11.9
52.03,1.7,12.1
52.03,2.08,11
52.03,2.63,12.3
52.03,3.33,12.4
52.05,2.83,12.1
52.05,3.1,5.8
52.05,3.33,9.2
52.05,3.67,5.7
52.07,2.33,5.7
52.07,3.17,11
52.07,3.33,10.2
52.07,3.63,14.6
52.07,3.65,10.11907574
52.07,3.67,13.3
52.07,4,9
52.08,2.83,13.9
52.08,3.33,6
52.08,3.67,7.9
52.08,4,11.43333333
52.08,4.05,9.223815149
52.0857,1.9637,12.45
52.1,2.33,11.4
52.1,2.88,8
52.1,3.07,11.2
52.1,3.2,12.5
52.1,3.33,9.213230638
52.1,3.37,9.05
52.1,3.47,10.08333333
52.1,3.67,8.8
52.1,3.8,8.973815149
52.1,3.92,12.2
52.1,4,11.86666667
52.12,2.52,10.11907574
52.12,2.6,11.4
52.12,3.3,9.168786194
52.12,3.33,9.372165499
52.12,3.67,8.936512624
52.12,3.92,10.90272511
52.13,1.95,9.55
52.13,2.08,10.8
52.13,2.33,6.8
52.13,2.6,14
52.13,2.73,12.9
52.13,2.75,12.6
52.13,3.33,7.6
52.13,3.67,5.9
52.13,3.68,7.94
52.13,4.02,8.3
52.13,4.13,9.6
52.1357,2.9467,8.9
52.15,2.12,9.8
52.15,2.37,6.1
52.15,2.87,11.85
52.15,3.67,10.8
52.15,3.68,5.6
52.15,3.7,9.5
52.15,4,13.7
52.169,2.6805,6.5
52.17,1.78,10.1
52.17,2.15,13.5
52.17,2.67,13.78
52.17,2.83,8.8
52.17,2.9,8.2
52.17,3,4.49
52.17,3.05,14
52.17,3.25,11.7
52.17,3.33,7.3
52.17,3.67,6.5
52.17,4,12.6
52.17,4.23,7.4
52.18,2.17,14.04
52.18,2.83,13.6
52.18,3.33,12.96
52.18,3.4,12.8
52.18,3.5,13.9
52.18,3.67,6.2
52.18,4,6.8
52.2,2.23,14.97
52.2,2.37,6.25
52.2,2.87,8.4
52.2,3.33,8.8
52.2,3.67,13.6
52.2,3.68,8
52.2,3.83,7.3
52.2,4,7.6
52.219,3.4473,6.9
52.22,2.07,8.4
52.22,2.63,11.4
52.22,3.1,11.1
52.22,3.33,12.5
52.22,3.67,13.4
52.22,3.77,11.03333333
52.22,3.85,11.08
52.22,4,7.983333333
52.22,4.12,11.7
52.23,1.8,10.5
52.23,3.67,12.1
52.23,3.8,12.75
52.23,3.93,10.9
52.23,4,9.48
52.2357,3.1797,9.4
52.25,2.08,11.4
52.25,2.5,12.4
52.25,2.53,9.6
52.25,2.68,9.3
52.25,3.32,12.5
52.25,3.33,7.85
52.25,3.67,7.6
52.25,3.97,8.21
52.25,4,2.69
52.27,2.08,9.5
52.27,2.83,12.43
52.27,2.93,13.7
52.27,3.5,7
52.27,3.67,9.4
52.27,3.88,13.91
52.27,4,12.3
52.28,3.13,15.7
52.28,3.18,14.06
52.28,3.67,15.15
52.28,4,8.28
52.3,1.92,8.42
52.3,2.23,16.22
52.3,2.6,6.78
52.3,2.77,7.2
52.3,2.93,5.7
52.3,3.67,8.59
52.3,3.75,10.42976894
52.3,4,10.5
52.3,4.03,9.15
52.3,4.07,5.67
52.319,3.4127,10.11907574
52.319,3.6463,9.32
52.32,1.78,0.22
52.32,2.07,12.005
52.32,2.08,9.4
52.32,2.33,8.49
52.32,2.87,5.5
52.32,3.23,14.23
52.32,3.42,5.8
52.32,3.52,5.9
52.32,3.67,9.3
52.32,4,10.7
52.33,1.77,12.72
52.33,1.85,13.74
52.33,2.17,12.62
52.33,2.5,11.5
52.33,2.75,8.45
52.33,2.8,11.8
52.33,2.88,6.49
52.33,2.95,9.08
52.33,3,7.59
52.33,3.07,14.5
52.33,3.17,13.5
